iter	Passed	Remaining
0	1292	1291562
1	2406	1200857
2	3496	1161989
3	4629	1152846
4	5748	1144024
5	6866	1137580
6	7994	1134107
7	9216	1142836
8	10307	1134920
9	11388	1127457
10	12492	1123192
11	13590	1118937
12	14690	1115381
13	15880	1118411
14	16999	1116271
15	18094	1112821
16	19190	1109648
17	20277	1106238
18	21386	1104231
19	22540	1104472
20	23640	1102096
21	24746	1100099
22	25861	1098556
23	26967	1096687
24	28068	1094658
25	29218	1094576
26	30343	1093491
27	31432	1091147
28	32530	1089208
29	33615	1086893
30	34706	1084842
31	35808	1083195
32	36997	1084134
33	38091	1082234
34	39177	1080180
35	40255	1077943
36	41370	1076744
37	42454	1074756
38	43604	1074466
39	44719	1073264
40	45823	1071825
41	46960	1071146
42	48047	1069346
43	49158	1068083
44	50304	1067583
45	51390	1065797
46	52488	1064278
47	53587	1062813
48	54667	1061001
49	55772	1059684
50	56894	1058689
51	58065	1058586
52	59170	1057252
53	60280	1056018
54	61399	1054948
55	62490	1053408
56	63599	1052177
57	64799	1052437
58	65929	1051512
59	67056	1050544
60	68167	1049330
61	69306	1048544
62	70426	1047460
63	71576	1046800
64	72733	1046245
65	73850	1045090
66	74965	1043926
67	76074	1042665
68	77172	1041273
69	78298	1040250
70	79380	1038655
71	80475	1037237
72	81574	1035878
73	82658	1034350
74	83742	1032823
75	84848	1031583
76	86037	1031334
77	87120	1029804
78	88192	1028171
79	89300	1026958
80	90384	1025477
81	91464	1023955
82	92641	1023517
83	93737	1022186
84	94829	1020806
85	95927	1019508
86	97035	1018316
87	98160	1017298
88	99306	1016499
89	100416	1015323
90	101537	1014258
91	102628	1012899
92	103730	1011654
93	104849	1010575
94	105957	1009388
95	107147	1008971
96	108258	1007808
97	109419	1007103
98	110530	1005939
99	111609	1004481
100	112720	1003324
101	113886	1002650
102	114979	1001322
103	116089	1000157
104	117194	998939
105	118270	997489
106	119378	996307
107	120535	995537
108	121617	994143
109	122694	992712
110	123775	991316
111	124887	990183
112	125996	989016
113	127119	987960
114	128240	986893
115	129349	985734
116	130441	984442
117	131522	983071
118	132613	981783
119	133706	980516
120	134866	979735
121	135979	978610
122	137116	977652
123	138196	976288
124	139312	975187
125	140401	973896
126	141563	973111
127	142647	971785
128	143730	970461
129	144830	969249
130	145943	968130
131	147042	966916
132	148159	965819
133	149300	964885
134	150376	963522
135	151454	962182
136	152536	960868
137	153628	959622
138	154741	958507
139	155912	957750
140	157041	956727
141	158167	955685
142	159262	954463
143	160361	953257
144	161475	952147
145	162626	951254
146	163726	950056
147	164833	948907
148	165954	947835
149	167072	946744
150	168195	945680
151	169440	945300
152	170527	944029
153	171612	942755
154	172727	941644
155	173801	940312
156	174891	939064
157	176002	937938
158	177190	937217
159	178268	935911
160	179369	934728
161	180464	933514
162	181574	932380
163	182663	931138
164	183793	930108
165	184905	928980
166	186007	927807
167	187102	926604
168	188176	925295
169	189285	924159
170	190433	923212
171	191506	921903
172	192658	920973
173	193751	919761
174	194859	918623
175	195988	917584
176	197117	916538
177	198234	915441
178	199331	914252
179	200420	913025
180	201522	911861
181	202623	910693
182	203707	909446
183	204883	908614
184	205991	907477
185	207096	906324
186	208170	905039
187	209285	903934
188	210370	902699
189	211522	901752
190	212622	900583
191	213712	899371
192	214796	898137
193	215909	897025
194	217038	895980
195	218159	894898
196	219251	893701
197	220344	892505
198	221443	891338
199	222531	890125
200	223624	888934
201	224759	887912
202	225926	887013
203	227048	885934
204	228129	884698
205	229236	883561
206	230316	882323
207	231398	881093
208	232567	880195
209	233673	879059
210	234754	877827
211	235848	876644
212	236972	875574
213	238086	874467
214	239245	873522
215	240335	872327
216	241442	871196
217	242526	869979
218	243607	868757
219	244702	867579
220	245791	866385
221	246971	865514
222	248045	864266
223	249150	863127
224	250244	861952
225	251339	860781
226	252416	859548
227	253578	858608
228	254665	857411
229	255750	856207
230	256901	855225
231	257980	854003
232	259055	852771
233	260192	851740
234	261301	850620
235	262374	849382
236	263456	848173
237	264548	847000
238	265662	845895
239	266790	844835
240	267939	843842
241	269047	842719
242	270127	841508
243	271218	840332
244	272297	839120
245	273396	837971
246	274552	836995
247	275642	835820
248	276777	834778
249	277896	833690
250	279002	832560
251	280159	831584
252	281337	830666
253	282420	829471
254	283507	828286
255	283961	825264
256	285066	824140
257	286204	823115
258	287358	822134
259	288621	821460
260	289745	820389
261	290838	819232
262	291924	818055
263	293027	816924
264	294113	815748
265	295203	814584
266	296328	813515
267	297433	812392
268	298526	811238
269	299629	810110
270	300466	808265
271	301576	807159
272	302674	806022
273	303765	804868
274	304881	803779
275	306007	802716
276	307109	801589
277	308190	800407
278	309294	799287
279	310389	798145
280	311471	796967
281	312613	795944
282	313748	794902
283	314870	793828
284	315963	792681
285	317077	791585
286	318155	790400
287	319264	789292
288	320344	788114
289	321450	787000
290	322542	785850
291	323622	784672
292	324696	783482
293	325808	782382
294	326929	781306
295	328007	780126
296	329109	779004
297	330191	777834
298	331273	776664
299	332361	775509
300	333480	774428
301	334586	773316
302	335664	772140
303	336809	771115
304	337888	769941
